type,timestamp,cluster,node,sourceip,user,latitude,longitude,city,country
INVALID_USER,2019-03-28T03:57:56.095Z,pc772,h6,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:56.095Z,pc739,node-12,164.132.107.245,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:54.533Z,c220g2-011002,vhost-11,24.2.205.235,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:55.030Z,pc551,node-11,209.146.20.162,UNKNOWN
DISCONNECT_INVALID_USER,2019-03-28T03:57:55.031Z,pc858,receiver1,10.1.1.5,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:55.031Z,pc516,node-5,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:55.031Z,pc301,localhost,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:55.030Z,pc426,node-55,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:57:55.030Z,pc462,serv0,UNKNOWN,other
INVALID_USER,2019-03-28T03:57:55.030Z,pc473,node-30,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:55.031Z,pc458,serv6,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:57:55.030Z,pc301,localhost,UNKNOWN,other
INVALID_USER,2019-03-28T03:57:55.030Z,pc311,pc311,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:55.030Z,pc462,serv0,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:55.030Z,pc498,node-46,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:57:55.030Z,pc516,node-5,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:55.030Z,pc498,node-46,209.146.20.162,UNKNOWN
TOO_MANY_PASSWORD_ATTEMPTS,2019-03-28T03:57:55.029Z,knvm0-3,kn-collector,218.92.0.157,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:55.031Z,pc411,serv21,209.146.20.162,UNKNOWN
DISCONNECT_INVALID_USER,2019-03-28T03:57:53.986Z,pc824,vhost-0,209.146.20.162,other
INVALID_USER,2019-03-28T03:57:55.030Z,pc429,node-74,UNKNOWN,other
INVALID_USER,2019-03-28T03:57:57.154Z,pc305,localhost,209.146.20.162,other
INVALID_USER,2019-03-28T03:57:57.100Z,ms1104,localhost,UNKNOWN,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:57.155Z,pc537,node-57,209.146.20.162,UNKNOWN
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:57.155Z,pc523,node-31,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:57:57.155Z,pc450,serv24,UNKNOWN,other
INVALID_USER,2019-03-28T03:57:57.155Z,pc450,serv24,209.146.20.162,other
INVALID_USER,2019-03-28T03:57:57.100Z,ms1104,localhost,113.87.161.202,other
DISCONNECT_INVALID_USER,2019-03-28T03:57:57.155Z,pc804,localhost,209.146.20.162,other
INVALID_USER,2019-03-28T03:57:57.155Z,pc612,localhost,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:57.581Z,c240g5-110113,c240g5-110113,43.255.31.122,UNKNOWN
DISCONNECT_INVALID_USER,2019-03-28T03:57:57.581Z,c240g5-110217,node-1,128.199.233.188,other
INVALID_USER,2019-03-28T03:57:58.199Z,pc763,vhost-0,209.146.20.162,other
UNABLE_TO_NEGOTIATE,2019-03-28T03:57:58.199Z,pc477,node-21,209.146.20.162,UNKNOWN
INVALID_USER,2019-03-28T03:57:58.199Z,pc825,node-2,209.146.20.162,other
INVALID_USER,2019-03-28T03:57:58.199Z,pc336,localhost,UNKNOWN,other
INVALID_USER,2019-03-28T03:57:58.198Z,pc412,serv3,UNKNOWN,other
